Match No,Summary,Slug,Full Date,DTSTART,Location Name,Grouping
1,Japan v Russia,japan-russia,Friday 20 September 2019 11:45:00,2019-09-20T11:45:00Z,"Tokyo Stadium, Tokyo",Pool A
2,Australia v Fiji,australia-fiji,Saturday 21 September 2019 05:45:00,2019-09-21T05:45:00Z,"Sapporo Dome, Sapporo",Pool D
3,France v Argentina,france-argentina,Saturday 21 September 2019 08:15:00,2019-09-21T08:15:00Z,"Tokyo Stadium, Tokyo",Pool C
4,New Zealand v South Africa,new-zealand-south-africa,Saturday 21 September 2019 10:45:00,2019-09-21T10:45:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Pool B
5,Italy v Namibia,italy-namibia,Sunday 22 September 2019 06:15:00,2019-09-22T06:15:00Z,"Hanazono Rugby Stadium, Osaka Prefecture, Higashiosaka City",Pool B
6,Ireland v Scotland,ireland-scotland,Sunday 22 September 2019 08:45:00,2019-09-22T08:45:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Pool A
7,England v Tonga,england-tonga,Sunday 22 September 2019 11:15:00,2019-09-22T11:15:00Z,"Sapporo Dome, Sapporo",Pool C
8,Wales v Georgia,wales-georgia,Monday 23 September 2019 11:15:00,2019-09-23T11:15:00Z,"City of Toyota Stadium, Aichi Prefecture, Toyota City",Pool D
9,Russia v Samoa,russia-samoa,Tuesday 24 September 2019 11:15:00,2019-09-24T11:15:00Z,"Kumagaya Rugby Stadium, Saitama Prefecture, Kumagaya City",Pool A
10,Fiji v Uruguay,fiji-uruguay,Wednesday 25 September 2019 06:15:00,2019-09-25T06:15:00Z,"Kamaishi Recovery Memorial Stadium, Iwate Prefecture, Kamaishi City",Pool D
11,Italy v Canada,italy-canada,Thursday 26 September 2019 08:45:00,2019-09-26T08:45:00Z,"Fukuoka Hakatanomori Stadium, Fukuoka Prefecture, Fukuoka City",Pool B
12,England v USA,england-usa,Thursday 26 September 2019 11:45:00,2019-09-26T11:45:00Z,"Kobe Misaki Stadium, Kobe City",Pool C
13,Argentina v Tonga,argentina-tonga,Saturday 28 September 2019 05:45:00,2019-09-28T05:45:00Z,"Hanazono Rugby Stadium, Osaka Prefecture, Higashiosaka City",Pool C
14,Japan v Ireland,japan-ireland,Saturday 28 September 2019 08:15:00,2019-09-28T08:15:00Z,"Shizuoka Stadium Ecopa, Shizuoka Prefecture",Pool A
15,South Africa v Namibia,south-africa-namibia,Saturday 28 September 2019 10:45:00,2019-09-28T10:45:00Z,"City of Toyota Stadium, Aichi Prefecture, Toyota City",Pool B
16,Georgia v Uruguay,georgia-uruguay,Sunday 29 September 2019 06:15:00,2019-09-29T06:15:00Z,"Kumagaya Rugby Stadium, Saitama Prefecture, Kumagaya City",Pool D
17,Australia v Wales,australia-wales,Sunday 29 September 2019 08:45:00,2019-09-29T08:45:00Z,"Tokyo Stadium, Tokyo",Pool D
18,Scotland v Samoa,scotland-samoa,Monday 30 September 2019 11:15:00,2019-09-20T11:15:00Z,"Kobe Misaki Stadium, Kobe City",Pool A
19,France v USA,france-usa,Wednesday 02 October 2019 08:45:00,2019-10-02T08:45:00Z,"Fukuoka Hakatanomori Stadium, Fukuoka Prefecture, Fukuoka City",Pool C
